kpi_enum,territory,territory_code,group,value,cnt_cost_not_null,layer,value_data,value_data_prev,month,year,territory_en
land_market_average_price_per_ga,Житомирська область,UA18000000000041385,,44840.31,,-1,,,2,2026,"Zhytomyr Oblast, Ukraine"
land_market_average_price_per_ga,Закарпатська область,UA21000000000011690,,69549.05,,-1,,,2,2026,"Zakarpattia Oblast, Ukraine"
land_market_average_price_per_ga,Запорізька область,UA23000000000064947,,29595.95,,-1,,,2,2026,"Zaporizhzhia Oblast, Ukraine"
land_market_average_price_per_ga,Івано-Франківська область,UA26000000000069363,,140274.33,,-1,,,2,2026,"Ivano-Frankivsk Oblast, Ukraine"
land_market_average_price_per_ga,Київська область,UA32000000000030281,,95808.34,,-1,,,2,2026,"Kyiv Oblast, Ukraine"
land_market_average_price_per_ga,Кіровоградська область,UA35000000000016081,,40728.48,,-1,,,2,2026,"Kirovohrad Oblast, Ukraine"
land_market_average_price_per_ga,Луганська область,UA44000000000018893,,25874.9,,-1,,,2,2026,"Luhansk Oblast, Ukraine"
land_market_average_price_per_ga,Львівська область,UA46000000000026241,,103910.79,,-1,,,2,2026,"Lviv Oblast, Ukraine"
land_market_average_price_per_ga,Миколаївська область,UA48000000000039575,,32347.68,,-1,,,2,2026,"Mykolaiv Oblast, Ukraine"
land_market_average_price_per_ga,Одеська область,UA51000000000030770,,38521.03,,-1,,,2,2026,"Odesa Oblast, Ukraine"
land_market_average_price_per_ga,Полтавська область,UA53000000000028050,,55781.22,,-1,,,2,2026,"Poltava Oblast, Ukraine"
land_market_average_price_per_ga,Рівненська область,UA56000000000066151,,55254.91,,-1,,,2,2026,"Rivne Oblast, Ukraine"
land_market_average_price_per_ga,Сумська область,UA59000000000057109,,36954.38,,-1,,,2,2026,"Sumy Oblast, Ukraine"
land_market_average_price_per_ga,Тернопільська область,UA61000000000060328,,72675.45,,-1,,,2,2026,"Ternopil Oblast, Ukraine"
land_market_average_price_per_ga,Харківська область,UA63000000000041885,,38454.04,,-1,,,2,2026,"Kharkiv Oblast, Ukraine"
land_market_average_price_per_ga,Херсонська область,UA65000000000030969,,25616.5,,-1,,,2,2026,"Kherson Oblast, Ukraine"
land_market_average_price_per_ga,Хмельницька область,UA68000000000099709,,52502.23,,-1,,,2,2026,"Khmelnytskyi Oblast, Ukraine"
land_market_average_price_per_ga,Черкаська область,UA71000000000010357,,49655.66,,-1,,,2,2026,"Cherkasy Oblast, Ukraine"
land_market_average_price_per_ga,Чернівецька область,UA73000000000044923,,61169.93,,-1,,,2,2026,"Chernivtsi Oblast, Ukraine"
land_market_average_price_per_ga,Чернігівська область,UA74000000000025378,,39604.63,,-1,,,2,2026,"Chernihiv Oblast, Ukraine"
land_market_average_price_per_ga,Україна,UA00000000000000000,,73277.91,,-1,,,3,2026,Ukraine
land_market_average_price_per_ga,Вінницька область,UA05000000000010236,,58670.56,,-1,,,3,2026,"Vinnytsia Oblast, Ukraine"
land_market_average_price_per_ga,Волинська область,UA07000000000024379,,47701.96,,-1,,,3,2026,"Volyn Oblast, Ukraine"
land_market_average_price_per_ga,Дніпропетровська область,UA12000000000090473,,41084.14,,-1,,,3,2026,"Dnipropetrovsk Oblast, Ukraine"
land_market_average_price_per_ga,Донецька область,UA14000000000091971,,29997.64,,-1,,,3,2026,"Donetsk Oblast, Ukraine"
land_market_average_price_per_ga,Житомирська область,UA18000000000041385,,45349.83,,-1,,,3,2026,"Zhytomyr Oblast, Ukraine"
land_market_average_price_per_ga,Закарпатська область,UA21000000000011690,,70732.03,,-1,,,3,2026,"Zakarpattia Oblast, Ukraine"
land_market_average_price_per_ga,Запорізька область,UA23000000000064947,,29743.14,,-1,,,3,2026,"Zaporizhzhia Oblast, Ukraine"
land_market_average_price_per_ga,Івано-Франківська область,UA26000000000069363,,140998.4,,-1,,,3,2026,"Ivano-Frankivsk Oblast, Ukraine"
land_market_average_price_per_ga,Київська область,UA32000000000030281,,98004.04,,-1,,,3,2026,"Kyiv Oblast, Ukraine"
land_market_average_price_per_ga,Кіровоградська область,UA35000000000016081,,41126.13,,-1,,,3,2026,"Kirovohrad Oblast, Ukraine"
